timestamp,ramos,meses,nos,t_arvore_s,t_mercado_s,t_modelo_s,t_otimizacao_s,t_extracao_s,tempo_total_s,status
2026-04-16 14:53:24,2,2,7,1.67,0.38,0.92,0.12,0.3,3.39,OPTIMAL
2026-04-16 14:53:28,2,3,15,0.57,0.01,0.0,0.01,0.0,0.59,OPTIMAL
2026-04-16 14:53:28,2,4,31,0.59,0.01,0.01,0.02,0.0,0.63,OPTIMAL
2026-04-16 14:53:29,2,5,63,0.57,0.01,0.03,0.04,0.0,0.65,OPTIMAL
2026-04-16 14:53:30,2,6,127,0.56,0.01,0.05,0.09,0.01,0.72,OPTIMAL
2026-04-16 14:53:30,2,7,255,0.57,0.01,0.09,0.22,0.01,0.9,OPTIMAL
2026-04-16 14:53:31,2,8,511,0.59,0.01,0.18,0.51,0.02,1.31,OPTIMAL
2026-04-16 14:53:33,2,9,1023,0.59,0.01,0.4,1.15,0.05,2.2,OPTIMAL
2026-04-16 14:53:35,2,10,2047,0.62,0.01,0.91,2.78,0.1,4.42,OPTIMAL
2026-04-16 14:53:39,2,11,4095,0.68,0.01,2.04,6.62,0.22,9.57,OPTIMAL
2026-04-16 14:53:49,2,12,8191,0.65,0.01,4.5,14.75,0.62,20.53,OPTIMAL
2026-04-16 14:54:09,2,13,16383,0.61,0.01,12.64,34.81,0.97,49.04,OPTIMAL
2026-04-16 14:54:58,2,14,32767,3.79,0.01,21.33,79.96,2.02,107.11,OPTIMAL
2026-04-16 14:56:46,2,15,65535,0.79,0.01,54.83,185.67,16.43,257.73,OPTIMAL
2026-04-16 15:55:02,2,16,131071,2.02,0.37,110.22,1519.76,10.31,1642.68,OPTIMAL
2026-04-17 22:39:25,2,17,262143,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 22:39:25,3,2,13,1.64,0.38,0.94,0.14,0.31,3.41,OPTIMAL
2026-04-17 22:39:29,3,3,40,0.64,0.01,0.01,0.05,0.0,0.71,OPTIMAL
2026-04-17 22:39:30,3,4,121,0.6,0.01,0.04,0.09,0.01,0.75,OPTIMAL
2026-04-17 22:39:30,3,5,364,0.61,0.01,0.11,0.29,0.02,1.04,OPTIMAL
2026-04-17 22:39:31,3,6,1093,0.62,0.01,0.38,1.02,0.07,2.1,OPTIMAL
2026-04-17 22:39:33,3,7,3280,0.63,0.01,1.29,3.72,0.17,5.82,OPTIMAL
2026-04-17 22:39:39,3,8,9841,0.67,0.01,4.63,13.36,0.65,19.32,OPTIMAL
2026-04-17 22:39:59,3,9,29524,0.66,0.01,17.41,51.65,2.15,71.88,OPTIMAL
2026-04-17 22:41:10,3,10,88573,5.49,0.01,51.12,186.67,45.08,288.37,OPTIMAL
2026-04-17 22:45:59,3,11,265720,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 22:45:59,4,2,21,0.64,0.01,0.02,0.08,0.01,0.76,OPTIMAL
2026-04-17 22:46:00,4,3,85,0.83,0.01,0.03,0.1,0.01,0.98,OPTIMAL
2026-04-17 22:46:01,4,4,341,0.61,0.01,0.12,0.32,0.02,1.08,OPTIMAL
2026-04-17 22:46:02,4,5,1365,0.63,0.01,0.44,1.27,0.08,2.43,OPTIMAL
2026-04-17 22:46:04,4,6,5461,0.63,0.01,1.83,5.9,0.3,8.67,OPTIMAL
2026-04-17 22:46:13,4,7,21845,0.71,0.01,52.91,27.84,1.15,82.62,OPTIMAL
2026-04-17 22:47:35,4,8,87381,0.82,0.01,46.56,144.42,35.56,227.37,OPTIMAL
2026-04-17 22:51:23,4,9,349525,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 22:51:23,5,2,31,0.64,0.01,0.03,0.12,0.01,0.81,OPTIMAL
2026-04-17 22:51:24,5,3,156,0.6,0.01,0.05,0.17,0.01,0.84,OPTIMAL
2026-04-17 22:51:25,5,4,781,0.61,0.01,0.25,0.69,0.05,1.61,OPTIMAL
2026-04-17 22:51:26,5,5,3906,0.64,0.01,1.31,4.23,0.21,6.4,OPTIMAL
2026-04-17 22:51:33,5,6,19531,0.67,0.01,38.87,24.05,1.04,64.64,OPTIMAL
2026-04-17 22:52:37,5,7,97656,0.86,0.01,48.15,234.09,6.89,290.0,OPTIMAL
2026-04-17 22:57:27,5,8,488281,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 22:57:27,6,2,43,0.74,0.01,0.04,0.15,0.01,0.95,OPTIMAL
2026-04-17 22:57:28,6,3,259,0.81,0.01,0.11,0.3,0.02,1.25,OPTIMAL
2026-04-17 22:57:29,6,4,1555,1.19,0.01,0.55,1.46,0.09,3.3,OPTIMAL
2026-04-17 22:57:33,6,5,9331,0.66,0.01,3.78,43.31,0.46,48.22,OPTIMAL
2026-04-17 22:58:21,6,6,55987,0.7,0.01,23.93,78.56,4.0,107.2,OPTIMAL
2026-04-17 23:00:08,6,7,335923,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 23:00:08,7,2,57,0.59,0.01,0.02,0.07,0.01,0.7,OPTIMAL
2026-04-17 23:00:09,7,3,400,0.59,0.01,0.1,0.31,0.02,1.03,OPTIMAL
2026-04-17 23:00:10,7,4,2801,0.58,0.01,0.77,2.15,0.14,3.65,OPTIMAL
2026-04-17 23:00:14,7,5,19608,0.62,0.01,17.77,22.04,0.99,41.43,OPTIMAL
2026-04-17 23:00:55,7,6,137257,0.93,0.01,68.97,265.17,24.68,359.76,OPTIMAL
2026-04-17 23:06:55,7,7,960800,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 23:06:55,8,2,73,0.96,0.11,0.34,0.22,0.01,1.64,OPTIMAL
2026-04-17 23:06:57,8,3,585,60.54,0.01,0.19,0.41,0.03,61.18,OPTIMAL
2026-04-17 23:07:58,8,4,4681,0.6,0.01,1.51,3.62,0.24,5.98,OPTIMAL
2026-04-17 23:08:04,8,5,37449,0.68,0.01,14.96,46.34,1.9,63.89,OPTIMAL
2026-04-17 23:09:08,8,6,299593,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 23:09:08,9,2,91,6.59,0.01,0.03,0.08,0.01,6.72,OPTIMAL
2026-04-17 23:09:14,9,3,820,0.6,0.01,0.24,0.55,0.04,1.44,OPTIMAL
2026-04-17 23:09:16,9,4,7381,0.61,0.01,2.31,6.65,0.36,9.94,OPTIMAL
2026-04-17 23:09:26,9,5,66430,0.73,0.01,27.66,84.02,3.48,115.9,OPTIMAL
2026-04-17 23:11:22,9,6,597871,,,,,,,LIMITE_NOS_EXCEDIDO
2026-04-17 23:11:22,10,2,111,0.62,0.01,0.04,0.12,0.01,0.8,OPTIMAL
2026-04-17 23:11:22,10,3,1111,0.61,0.01,0.32,0.77,0.06,1.77,OPTIMAL
2026-04-17 23:11:24,10,4,11111,0.62,0.01,15.62,9.6,0.57,26.42,OPTIMAL
2026-04-17 23:11:51,10,5,111111,0.88,0.01,50.09,200.65,6.7,258.33,OPTIMAL
2026-04-17 23:16:09,10,6,1111111,,,,,,,LIMITE_NOS_EXCEDIDO
